HCPCS,MOD,PROCSTAT,CARRIER,LOCALITY,FACILITY PRICE,NON-FACILTY PRICE
0633T,TC,C,01112,05,150.38,150.38
0633T,TC,C,01112,09,153.78,153.78
0633T,TC,C,01112,51,140.60,140.60
0633T,TC,C,01112,52,150.39,150.39
0633T,TC,C,01112,53,140.58,140.58
0633T,TC,C,01112,54,116.98,116.98
0633T,TC,C,01112,55,116.96,116.96
0633T,TC,C,01112,56,116.96,116.96
0633T,TC,C,01112,57,116.96,116.96
0633T,TC,C,01112,58,116.96,116.96
0633T,TC,C,01112,59,116.96,116.96
0633T,TC,C,01112,60,116.96,116.96
0633T,TC,C,01112,61,116.96,116.96
0633T,TC,C,01112,62,117.06,117.06
0633T,TC,C,01112,63,124.10,124.10
0633T,TC,C,01112,64,123.67,123.67
0633T,TC,C,01112,65,153.82,153.82
0633T,TC,C,01112,66,129.64,129.64
0633T,TC,C,01112,67,131.02,131.02
0633T,TC,C,01112,68,116.96,116.96
0633T,TC,C,01112,69,116.96,116.96
0633T,TC,C,01112,70,116.96,116.96
0633T,TC,C,01112,75,116.96,116.96
0633T,TC,C,01182,17,126.15,126.15
0633T,TC,C,01182,18,126.27,126.27
0633T,TC,C,01182,71,116.96,116.96
0633T,TC,C,01182,72,127.61,127.61
0633T,TC,C,01182,73,121.54,121.54
0633T,TC,C,01182,74,124.42,124.42
0633T,TC,C,01212,01,121.34,121.34
0633T,TC,C,01312,00,106.93,106.93
0633T,TC,C,02102,01,113.66,113.66
0633T,TC,C,02202,00,98.18,98.18
0633T,TC,C,02302,01,118.62,118.62
0633T,TC,C,02302,99,106.36,106.36
0633T,TC,C,02402,02,131.01,131.01
0633T,TC,C,02402,99,112.45,112.45
0633T,TC,C,03102,00,103.53,103.53
0633T,TC,C,03202,01,106.88,106.88
0633T,TC,C,03302,01,106.68,106.68
0633T,TC,C,03402,02,106.66,106.66
0633T,TC,C,03502,09,100.46,100.46
0633T,TC,C,03602,21,106.80,106.80
0633T,TC,C,04112,01,113.63,113.63
0633T,TC,C,04212,05,98.11,98.11
0633T,TC,C,04312,00,95.41,95.41
0633T,TC,C,04412,09,105.85,105.85
0633T,TC,C,04412,11,106.41,106.41
0633T,TC,C,04412,15,106.08,106.08
0633T,TC,C,04412,18,106.26,106.26
0633T,TC,C,04412,20,97.27,97.27
0633T,TC,C,04412,28,105.35,105.35
0633T,TC,C,04412,31,113.02,113.02
0633T,TC,C,04412,99,101.42,101.42
0633T,TC,C,05102,00,97.62,97.62
0633T,TC,C,05202,00,96.49,96.49
0633T,TC,C,05302,01,101.77,101.77
0633T,TC,C,05302,02,100.38,100.38
0633T,TC,C,05302,99,92.17,92.17
0633T,TC,C,05402,00,98.47,98.47
0633T,TC,C,06102,12,98.70,98.70
0633T,TC,C,06102,15,110.02,110.02
0633T,TC,C,06102,16,107.85,107.85
0633T,TC,C,06102,99,97.80,97.80
0633T,TC,C,06202,00,109.74,109.74
0633T,TC,C,06302,00,102.18,102.18
0633T,TC,C,07102,13,91.70,91.70
0633T,TC,C,07202,01,100.64,100.64
0633T,TC,C,07202,99,94.62,94.62
0633T,TC,C,07302,00,91.99,91.99
0633T,TC,C,08102,00,98.93,98.93
0633T,TC,C,08202,01,103.38,103.38
0633T,TC,C,08202,99,97.66,97.66
0633T,TC,C,09102,03,108.54,108.54
0633T,TC,C,09102,04,111.76,111.76
0633T,TC,C,09102,99,102.36,102.36
0633T,TC,C,09202,20,108.05,108.05
0633T,TC,C,09202,50,108.05,108.05
0633T,TC,C,10112,00,93.42,93.42
0633T,TC,C,10212,01,108.65,108.65
0633T,TC,C,10212,99,95.44,95.44
0633T,TC,C,10312,35,97.03,97.03
0633T,TC,C,11202,01,98.74,98.74
0633T,TC,C,11302,00,104.97,104.97
0633T,TC,C,11402,16,93.07,93.07
0633T,TC,C,11502,00,99.62,99.62
0633T,TC,C,12102,01,105.57,105.57
0633T,TC,C,12202,01,125.89,125.89
0633T,TC,C,12302,01,114.74,114.74
0633T,TC,C,12302,99,108.13,108.13
0633T,TC,C,12402,01,123.95,123.95
0633T,TC,C,12402,99,116.72,116.72
0633T,TC,C,12502,01,111.32,111.32
0633T,TC,C,12502,99,98.13,98.13
0633T,TC,C,13102,00,115.16,115.16
0633T,TC,C,13202,01,124.34,124.34
0633T,TC,C,13202,02,127.31,127.31
0633T,TC,C,13202,03,117.08,117.08
0633T,TC,C,13282,99,101.46,101.46
0633T,TC,C,13292,04,126.42,126.42
0633T,TC,C,14112,03,105.80,105.80
0633T,TC,C,14112,99,98.23,98.23
0633T,TC,C,14212,01,127.52,127.52
0633T,TC,C,14212,99,112.46,112.46
0633T,TC,C,14312,40,111.21,111.21
0633T,TC,C,14412,01,110.36,110.36
0633T,TC,C,14512,50,105.65,105.65
0633T,TC,C,15102,00,95.03,95.03
0633T,TC,C,15202,00,97.62,97.62
0634T,TC,C,01112,05,252.57,252.57
0634T,TC,C,01112,09,258.29,258.29
0634T,TC,C,01112,51,236.13,236.13
0634T,TC,C,01112,52,252.58,252.58
0634T,TC,C,01112,53,236.11,236.11
0634T,TC,C,01112,54,196.42,196.42
0634T,TC,C,01112,55,196.39,196.39
0634T,TC,C,01112,56,196.39,196.39
0634T,TC,C,01112,57,196.39,196.39
0634T,TC,C,01112,58,196.39,196.39
0634T,TC,C,01112,59,196.39,196.39
0634T,TC,C,01112,60,196.39,196.39
0634T,TC,C,01112,61,196.39,196.39
0634T,TC,C,01112,62,196.50,196.50
0634T,TC,C,01112,63,208.39,208.39
0634T,TC,C,01112,64,207.67,207.67
0634T,TC,C,01112,65,258.34,258.34
0634T,TC,C,01112,66,217.70,217.70
0634T,TC,C,01112,67,220.03,220.03
0634T,TC,C,01112,68,196.39,196.39
0634T,TC,C,01112,69,196.39,196.39
0634T,TC,C,01112,70,196.39,196.39
0634T,TC,C,01112,75,196.39,196.39
0634T,TC,C,01182,17,211.82,211.82
0634T,TC,C,01182,18,212.01,212.01
0634T,TC,C,01182,71,196.40,196.40
0634T,TC,C,01182,72,214.30,214.30
0634T,TC,C,01182,73,204.09,204.09
0634T,TC,C,01182,74,208.93,208.93
0634T,TC,C,01212,01,203.75,203.75
0634T,TC,C,01312,00,179.49,179.49
0634T,TC,C,02102,01,190.85,190.85
0634T,TC,C,02202,00,164.86,164.86
0634T,TC,C,02302,01,199.15,199.15
0634T,TC,C,02302,99,178.55,178.55
0634T,TC,C,02402,02,219.94,219.94
0634T,TC,C,02402,99,188.77,188.77
0634T,TC,C,03102,00,173.76,173.76
0634T,TC,C,03202,01,179.36,179.36
0634T,TC,C,03302,01,179.16,179.16
0634T,TC,C,03402,02,179.14,179.14
0634T,TC,C,03502,09,168.59,168.59
0634T,TC,C,03602,21,179.28,179.28
0634T,TC,C,04112,01,190.75,190.75
0634T,TC,C,04212,05,164.57,164.57
0634T,TC,C,04312,00,160.13,160.13
0634T,TC,C,04412,09,177.68,177.68
0634T,TC,C,04412,11,178.60,178.60
0634T,TC,C,04412,15,178.05,178.05
0634T,TC,C,04412,18,178.24,178.24
0634T,TC,C,04412,20,163.23,163.23
0634T,TC,C,04412,28,176.81,176.81
0634T,TC,C,04412,31,189.71,189.71
0634T,TC,C,04412,99,170.20,170.20
0634T,TC,C,05102,00,163.94,163.94
0634T,TC,C,05202,00,162.01,162.01
0634T,TC,C,05302,01,170.77,170.77
0634T,TC,C,05302,02,168.43,168.43
0634T,TC,C,05302,99,154.65,154.65
0634T,TC,C,05402,00,165.37,165.37
0634T,TC,C,06102,12,165.38,165.38
0634T,TC,C,06102,15,184.45,184.45
0634T,TC,C,06102,16,180.69,180.69
0634T,TC,C,06102,99,163.98,163.98
0634T,TC,C,06202,00,184.32,184.32
0634T,TC,C,06302,00,171.61,171.61
0634T,TC,C,07102,13,153.96,153.96
0634T,TC,C,07202,01,168.85,168.85
0634T,TC,C,07202,99,158.76,158.76
0634T,TC,C,07302,00,154.39,154.39
0634T,TC,C,08102,00,166.12,166.12
0634T,TC,C,08202,01,173.33,173.33
0634T,TC,C,08202,99,163.83,163.83
0634T,TC,C,09102,03,181.96,181.96
0634T,TC,C,09102,04,187.21,187.21
0634T,TC,C,09102,99,171.65,171.65
0634T,TC,C,09202,20,181.33,181.33
0634T,TC,C,09202,50,181.33,181.33
0634T,TC,C,10112,00,156.84,156.84
0634T,TC,C,10212,01,182.29,182.29
0634T,TC,C,10212,99,160.09,160.09
0634T,TC,C,10312,35,162.92,162.92
0634T,TC,C,11202,01,165.71,165.71
0634T,TC,C,11302,00,176.22,176.22
0634T,TC,C,11402,16,156.05,156.05
0634T,TC,C,11502,00,167.25,167.25
0634T,TC,C,12102,01,177.18,177.18
0634T,TC,C,12202,01,211.27,211.27
0634T,TC,C,12302,01,192.51,192.51
0634T,TC,C,12302,99,181.48,181.48
0634T,TC,C,12402,01,208.03,208.03
0634T,TC,C,12402,99,195.87,195.87
0634T,TC,C,12502,01,186.77,186.77
0634T,TC,C,12502,99,164.66,164.66
0634T,TC,C,13102,00,193.22,193.22
0634T,TC,C,13202,01,208.56,208.56
0634T,TC,C,13202,02,213.49,213.49
0634T,TC,C,13202,03,196.44,196.44
0634T,TC,C,13282,99,170.31,170.31
0634T,TC,C,13292,04,212.09,212.09
0634T,TC,C,14112,03,177.63,177.63
0634T,TC,C,14112,99,164.91,164.91
0634T,TC,C,14212,01,214.06,214.06
0634T,TC,C,14212,99,188.78,188.78
0634T,TC,C,14312,40,186.66,186.66
0634T,TC,C,14412,01,185.23,185.23
0634T,TC,C,14512,50,177.41,177.41
0634T,TC,C,15102,00,159.46,159.46
0634T,TC,C,15202,00,163.79,163.79
0635T,TC,C,01112,05,252.57,252.57
0635T,TC,C,01112,09,258.29,258.29
0635T,TC,C,01112,51,236.13,236.13
0635T,TC,C,01112,52,252.58,252.58
0635T,TC,C,01112,53,236.11,236.11
0635T,TC,C,01112,54,196.42,196.42
0635T,TC,C,01112,55,196.39,196.39
0635T,TC,C,01112,56,196.39,196.39
0635T,TC,C,01112,57,196.39,196.39
0635T,TC,C,01112,58,196.39,196.39
0635T,TC,C,01112,59,196.39,196.39
0635T,TC,C,01112,60,196.39,196.39
0635T,TC,C,01112,61,196.39,196.39
0635T,TC,C,01112,62,196.50,196.50
0635T,TC,C,01112,63,208.39,208.39
0635T,TC,C,01112,64,207.67,207.67
0635T,TC,C,01112,65,258.34,258.34
0635T,TC,C,01112,66,217.70,217.70
0635T,TC,C,01112,67,220.03,220.03
0635T,TC,C,01112,68,196.39,196.39
0635T,TC,C,01112,69,196.39,196.39
0635T,TC,C,01112,70,196.39,196.39
0635T,TC,C,01112,75,196.39,196.39
0635T,TC,C,01182,17,211.82,211.82
0635T,TC,C,01182,18,212.01,212.01
0635T,TC,C,01182,71,196.40,196.40
0635T,TC,C,01182,72,214.30,214.30
0635T,TC,C,01182,73,204.09,204.09
0635T,TC,C,01182,74,208.93,208.93
0635T,TC,C,01212,01,203.75,203.75
0635T,TC,C,01312,00,179.49,179.49
0635T,TC,C,02102,01,190.85,190.85
0635T,TC,C,02202,00,164.86,164.86
0635T,TC,C,02302,01,199.15,199.15
0635T,TC,C,02302,99,178.55,178.55
0635T,TC,C,02402,02,219.94,219.94
0635T,TC,C,02402,99,188.77,188.77
0635T,TC,C,03102,00,173.76,173.76
0635T,TC,C,03202,01,179.36,179.36
0635T,TC,C,03302,01,179.16,179.16
0635T,TC,C,03402,02,179.14,179.14
0635T,TC,C,03502,09,168.59,168.59
0635T,TC,C,03602,21,179.28,179.28
0635T,TC,C,04112,01,190.75,190.75
0635T,TC,C,04212,05,164.57,164.57
0635T,TC,C,04312,00,160.13,160.13
0635T,TC,C,04412,09,177.68,177.68
0635T,TC,C,04412,11,178.60,178.60
0635T,TC,C,04412,15,178.05,178.05
0635T,TC,C,04412,18,178.24,178.24
0635T,TC,C,04412,20,163.23,163.23
0635T,TC,C,04412,28,176.81,176.81
0635T,TC,C,04412,31,189.71,189.71
0635T,TC,C,04412,99,170.20,170.20
0635T,TC,C,05102,00,163.94,163.94
0635T,TC,C,05202,00,162.01,162.01
0635T,TC,C,05302,01,170.77,170.77
0635T,TC,C,05302,02,168.43,168.43
0635T,TC,C,05302,99,154.65,154.65
0635T,TC,C,05402,00,165.37,165.37
0635T,TC,C,06102,12,165.38,165.38
0635T,TC,C,06102,15,184.45,184.45
0635T,TC,C,06102,16,180.69,180.69
0635T,TC,C,06102,99,163.98,163.98
0635T,TC,C,06202,00,184.32,184.32
0635T,TC,C,06302,00,171.61,171.61
0635T,TC,C,07102,13,153.96,153.96
0635T,TC,C,07202,01,168.85,168.85
0635T,TC,C,07202,99,158.76,158.76
0635T,TC,C,07302,00,154.39,154.39
0635T,TC,C,08102,00,166.12,166.12
0635T,TC,C,08202,01,173.33,173.33
0635T,TC,C,08202,99,163.83,163.83
0635T,TC,C,09102,03,181.96,181.96
0635T,TC,C,09102,04,187.21,187.21
0635T,TC,C,09102,99,171.65,171.65
0635T,TC,C,09202,20,181.33,181.33
0635T,TC,C,09202,50,181.33,181.33
0635T,TC,C,10112,00,156.84,156.84
0635T,TC,C,10212,01,182.29,182.29
0635T,TC,C,10212,99,160.09,160.09
0635T,TC,C,10312,35,162.92,162.92
0635T,TC,C,11202,01,165.71,165.71
0635T,TC,C,11302,00,176.22,176.22
0635T,TC,C,11402,16,156.05,156.05
0635T,TC,C,11502,00,167.25,167.25
0635T,TC,C,12102,01,177.18,177.18
0635T,TC,C,12202,01,211.27,211.27
0635T,TC,C,12302,01,192.51,192.51
0635T,TC,C,12302,99,181.48,181.48
0635T,TC,C,12402,01,208.03,208.03
0635T,TC,C,12402,99,195.87,195.87
0635T,TC,C,12502,01,186.77,186.77
0635T,TC,C,12502,99,164.66,164.66
0635T,TC,C,13102,00,193.22,193.22
0635T,TC,C,13202,01,208.56,208.56
0635T,TC,C,13202,02,213.49,213.49
0635T,TC,C,13202,03,196.44,196.44
0635T,TC,C,13282,99,170.31,170.31
0635T,TC,C,13292,04,212.09,212.09
0635T,TC,C,14112,03,177.63,177.63
0635T,TC,C,14112,99,164.91,164.91
0635T,TC,C,14212,01,214.06,214.06
0635T,TC,C,14212,99,188.78,188.78
0635T,TC,C,14312,40,186.66,186.66
0635T,TC,C,14412,01,185.23,185.23
0635T,TC,C,14512,50,177.41,177.41
0635T,TC,C,15102,00,159.46,159.46
0635T,TC,C,15202,00,163.79,163.79
0636T,TC,C,01112,05,343.47,343.47
0636T,TC,C,01112,09,351.25,351.25
0636T,TC,C,01112,51,321.09,321.09
0636T,TC,C,01112,52,343.48,343.48
0636T,TC,C,01112,53,321.08,321.08
0636T,TC,C,01112,54,267.07,267.07
0636T,TC,C,01112,55,267.05,267.05
0636T,TC,C,01112,56,267.05,267.05
0636T,TC,C,01112,57,267.05,267.05
0636T,TC,C,01112,58,267.05,267.05
0636T,TC,C,01112,59,267.05,267.05
0636T,TC,C,01112,60,267.05,267.05
0636T,TC,C,01112,61,267.05,267.05
0636T,TC,C,01112,62,267.15,267.15
0636T,TC,C,01112,63,283.36,283.36
0636T,TC,C,01112,64,282.39,282.39
0636T,TC,C,01112,65,351.30,351.30
0636T,TC,C,01112,66,296.02,296.02
0636T,TC,C,01112,67,299.19,299.19
0636T,TC,C,01112,68,267.05,267.05
0636T,TC,C,01112,69,267.05,267.05
0636T,TC,C,01112,70,267.05,267.05
0636T,TC,C,01112,75,267.05,267.05
0636T,TC,C,01182,17,288.02,288.02
0636T,TC,C,01182,18,288.27,288.27
0636T,TC,C,01182,71,267.05,267.05
0636T,TC,C,01182,72,291.40,291.40
0636T,TC,C,01182,73,277.52,277.52
0636T,TC,C,01182,74,284.09,284.09
0636T,TC,C,01212,01,277.04,277.04
0636T,TC,C,01312,00,244.01,244.01
0636T,TC,C,02102,01,259.50,259.50
0636T,TC,C,02202,00,224.17,224.17
0636T,TC,C,02302,01,270.77,270.77
0636T,TC,C,02302,99,242.75,242.75
0636T,TC,C,02402,02,299.04,299.04
0636T,TC,C,02402,99,256.65,256.65
0636T,TC,C,03102,00,236.23,236.23
0636T,TC,C,03202,01,243.83,243.83
0636T,TC,C,03302,01,243.63,243.63
0636T,TC,C,03402,02,243.60,243.60
0636T,TC,C,03502,09,229.18,229.18
0636T,TC,C,03602,21,243.74,243.74
0636T,TC,C,04112,01,259.34,259.34
0636T,TC,C,04212,05,223.68,223.68
0636T,TC,C,04312,00,217.70,217.70
0636T,TC,C,04412,09,241.56,241.56
0636T,TC,C,04412,11,242.81,242.81
0636T,TC,C,04412,15,242.06,242.06
0636T,TC,C,04412,18,242.25,242.25
0636T,TC,C,04412,20,221.89,221.89
0636T,TC,C,04412,28,240.37,240.37
0636T,TC,C,04412,31,257.91,257.91
0636T,TC,C,04412,99,231.38,231.38
0636T,TC,C,05102,00,222.93,222.93
0636T,TC,C,05202,00,220.29,220.29
0636T,TC,C,05302,01,232.14,232.14
0636T,TC,C,05302,02,228.97,228.97
0636T,TC,C,05302,99,210.22,210.22
0636T,TC,C,05402,00,224.87,224.87
0636T,TC,C,06102,12,224.69,224.69
0636T,TC,C,06102,15,250.66,250.66
0636T,TC,C,06102,16,245.48,245.48
0636T,TC,C,06102,99,222.83,222.83
0636T,TC,C,06202,00,250.65,250.65
0636T,TC,C,06302,00,233.37,233.37
0636T,TC,C,07102,13,209.33,209.33
0636T,TC,C,07202,01,229.51,229.51
0636T,TC,C,07202,99,215.81,215.81
0636T,TC,C,07302,00,209.89,209.89
0636T,TC,C,08102,00,225.88,225.88
0636T,TC,C,08202,01,235.53,235.53
0636T,TC,C,08202,99,222.69,222.69
0636T,TC,C,09102,03,247.26,247.26
0636T,TC,C,09102,04,254.32,254.32
0636T,TC,C,09102,99,233.28,233.28
0636T,TC,C,09202,20,246.50,246.50
0636T,TC,C,09202,50,246.50,246.50
0636T,TC,C,10112,00,213.25,213.25
0636T,TC,C,10212,01,247.79,247.79
0636T,TC,C,10212,99,217.59,217.59
0636T,TC,C,10312,35,221.51,221.51
0636T,TC,C,11202,01,225.27,225.27
0636T,TC,C,11302,00,239.59,239.59
0636T,TC,C,11402,16,212.07,212.07
0636T,TC,C,11502,00,227.39,227.39
0636T,TC,C,12102,01,240.87,240.87
0636T,TC,C,12202,01,287.21,287.21
0636T,TC,C,12302,01,261.68,261.68
0636T,TC,C,12302,99,246.72,246.72
0636T,TC,C,12402,01,282.81,282.81
0636T,TC,C,12402,99,266.26,266.26
0636T,TC,C,12502,01,253.87,253.87
0636T,TC,C,12502,99,223.84,223.84
0636T,TC,C,13102,00,262.65,262.65
0636T,TC,C,13202,01,283.47,283.47
0636T,TC,C,13202,02,290.13,290.13
0636T,TC,C,13202,03,267.03,267.03
0636T,TC,C,13282,99,231.55,231.55
0636T,TC,C,13292,04,288.29,288.29
0636T,TC,C,14112,03,241.51,241.51
0636T,TC,C,14112,99,224.22,224.22
0636T,TC,C,14212,01,291.03,291.03
0636T,TC,C,14212,99,256.66,256.66
0636T,TC,C,14312,40,253.77,253.77
0636T,TC,C,14412,01,251.83,251.83
0636T,TC,C,14512,50,241.23,241.23
0636T,TC,C,15102,00,216.77,216.77
0636T,TC,C,15202,00,222.65,222.65
0637T,TC,C,01112,05,502.18,502.18
0637T,TC,C,01112,09,513.56,513.56
0637T,TC,C,01112,51,469.45,469.45
0637T,TC,C,01112,52,502.19,502.19
0637T,TC,C,01112,53,469.43,469.43
0637T,TC,C,01112,54,390.44,390.44
0637T,TC,C,01112,55,390.41,390.41
0637T,TC,C,01112,56,390.41,390.41
0637T,TC,C,01112,57,390.41,390.41
0637T,TC,C,01112,58,390.41,390.41
0637T,TC,C,01112,59,390.41,390.41
0637T,TC,C,01112,60,390.41,390.41
0637T,TC,C,01112,61,390.41,390.41
0637T,TC,C,01112,62,390.52,390.52
0637T,TC,C,01112,63,414.27,414.27
0637T,TC,C,01112,64,412.85,412.85
0637T,TC,C,01112,65,513.61,513.61
0637T,TC,C,01112,66,432.78,432.78
0637T,TC,C,01112,67,437.41,437.41
0637T,TC,C,01112,68,390.41,390.41
0637T,TC,C,01112,69,390.41,390.41
0637T,TC,C,01112,70,390.41,390.41
0637T,TC,C,01112,75,390.41,390.41
0637T,TC,C,01182,17,421.06,421.06
0637T,TC,C,01182,18,421.43,421.43
0637T,TC,C,01182,71,390.42,390.42
0637T,TC,C,01182,72,426.02,426.02
0637T,TC,C,01182,73,405.72,405.72
0637T,TC,C,01182,74,415.34,415.34
0637T,TC,C,01212,01,405.03,405.03
0637T,TC,C,01312,00,356.69,356.69
0637T,TC,C,02102,01,379.38,379.38
0637T,TC,C,02202,00,327.73,327.73
0637T,TC,C,02302,01,395.82,395.82
0637T,TC,C,02302,99,354.86,354.86
0637T,TC,C,02402,02,437.15,437.15
0637T,TC,C,02402,99,375.18,375.18
0637T,TC,C,03102,00,345.30,345.30
0637T,TC,C,03202,01,356.39,356.39
0637T,TC,C,03302,01,356.19,356.19
0637T,TC,C,03402,02,356.17,356.17
0637T,TC,C,03502,09,334.99,334.99
0637T,TC,C,03602,21,356.30,356.30
0637T,TC,C,04112,01,379.10,379.10
0637T,TC,C,04212,05,326.90,326.90
0637T,TC,C,04312,00,318.22,318.22
0637T,TC,C,04412,09,353.11,353.11
0637T,TC,C,04412,11,354.92,354.92
0637T,TC,C,04412,15,353.84,353.84
0637T,TC,C,04412,18,354.02,354.02
0637T,TC,C,04412,20,324.32,324.32
0637T,TC,C,04412,28,351.36,351.36
0637T,TC,C,04412,31,377.00,377.00
0637T,TC,C,04412,99,338.20,338.20
0637T,TC,C,05102,00,325.92,325.92
0637T,TC,C,05202,00,322.04,322.04
0637T,TC,C,05302,01,339.30,339.30
0637T,TC,C,05302,02,334.66,334.66
0637T,TC,C,05302,99,307.24,307.24
0637T,TC,C,05402,00,328.76,328.76
0637T,TC,C,06102,12,328.24,328.24
0637T,TC,C,06102,15,366.26,366.26
0637T,TC,C,06102,16,358.60,358.60
0637T,TC,C,06102,99,325.60,325.60
0637T,TC,C,06202,00,366.48,366.48
0637T,TC,C,06302,00,341.20,341.20
0637T,TC,C,07102,13,306.02,306.02
0637T,TC,C,07202,01,335.43,335.43
0637T,TC,C,07202,99,315.43,315.43
0637T,TC,C,07302,00,306.81,306.81
0637T,TC,C,08102,00,330.22,330.22
0637T,TC,C,08202,01,344.15,344.15
0637T,TC,C,08202,99,325.45,325.45
0637T,TC,C,09102,03,361.29,361.29
0637T,TC,C,09102,04,371.50,371.50
0637T,TC,C,09102,99,340.89,340.89
0637T,TC,C,09202,20,360.30,360.30
0637T,TC,C,09202,50,360.30,360.30
0637T,TC,C,10112,00,311.74,311.74
0637T,TC,C,10212,01,362.15,362.15
0637T,TC,C,10212,99,318.00,318.00
0637T,TC,C,10312,35,323.83,323.83
0637T,TC,C,11202,01,329.28,329.28
0637T,TC,C,11302,00,350.24,350.24
0637T,TC,C,11402,16,309.89,309.89
0637T,TC,C,11502,00,332.41,332.41
0637T,TC,C,12102,01,352.08,352.08
0637T,TC,C,12202,01,419.80,419.80
0637T,TC,C,12302,01,382.46,382.46
0637T,TC,C,12302,99,360.63,360.63
0637T,TC,C,12402,01,413.38,413.38
0637T,TC,C,12402,99,389.18,389.18
0637T,TC,C,12502,01,371.05,371.05
0637T,TC,C,12502,99,327.17,327.17
0637T,TC,C,13102,00,383.87,383.87
0637T,TC,C,13202,01,414.26,414.26
0637T,TC,C,13202,02,423.97,423.97
0637T,TC,C,13202,03,390.28,390.28
0637T,TC,C,13282,99,338.49,338.49
0637T,TC,C,13292,04,421.34,421.34
0637T,TC,C,14112,03,353.06,353.06
0637T,TC,C,14112,99,327.78,327.78
0637T,TC,C,14212,01,425.43,425.43
0637T,TC,C,14212,99,375.19,375.19
0637T,TC,C,14312,40,370.94,370.94
0637T,TC,C,14412,01,368.10,368.10
0637T,TC,C,14512,50,352.66,352.66
0637T,TC,C,15102,00,316.84,316.84
0637T,TC,C,15202,00,325.41,325.41
0638T,TC,C,01112,05,502.18,502.18
0638T,TC,C,01112,09,513.56,513.56
0638T,TC,C,01112,51,469.45,469.45
0638T,TC,C,01112,52,502.19,502.19
0638T,TC,C,01112,53,469.43,469.43
0638T,TC,C,01112,54,390.44,390.44
0638T,TC,C,01112,55,390.41,390.41
0638T,TC,C,01112,56,390.41,390.41
0638T,TC,C,01112,57,390.41,390.41
0638T,TC,C,01112,58,390.41,390.41
0638T,TC,C,01112,59,390.41,390.41
0638T,TC,C,01112,60,390.41,390.41
0638T,TC,C,01112,61,390.41,390.41
0638T,TC,C,01112,62,390.52,390.52
0638T,TC,C,01112,63,414.27,414.27
0638T,TC,C,01112,64,412.85,412.85
0638T,TC,C,01112,65,513.61,513.61
0638T,TC,C,01112,66,432.78,432.78
0638T,TC,C,01112,67,437.41,437.41
0638T,TC,C,01112,68,390.41,390.41
0638T,TC,C,01112,69,390.41,390.41
0638T,TC,C,01112,70,390.41,390.41
0638T,TC,C,01112,75,390.41,390.41
0638T,TC,C,01182,17,421.06,421.06
0638T,TC,C,01182,18,421.43,421.43
0638T,TC,C,01182,71,390.42,390.42
0638T,TC,C,01182,72,426.02,426.02
0638T,TC,C,01182,73,405.72,405.72
0638T,TC,C,01182,74,415.34,415.34
0638T,TC,C,01212,01,405.03,405.03
0638T,TC,C,01312,00,356.69,356.69
0638T,TC,C,02102,01,379.38,379.38
0638T,TC,C,02202,00,327.73,327.73
0638T,TC,C,02302,01,395.82,395.82
0638T,TC,C,02302,99,354.86,354.86
0638T,TC,C,02402,02,437.15,437.15
0638T,TC,C,02402,99,375.18,375.18
0638T,TC,C,03102,00,345.30,345.30
0638T,TC,C,03202,01,356.39,356.39
0638T,TC,C,03302,01,356.19,356.19
0638T,TC,C,03402,02,356.17,356.17
0638T,TC,C,03502,09,334.99,334.99
0638T,TC,C,03602,21,356.30,356.30
0638T,TC,C,04112,01,379.10,379.10
0638T,TC,C,04212,05,326.90,326.90
0638T,TC,C,04312,00,318.22,318.22
0638T,TC,C,04412,09,353.11,353.11
0638T,TC,C,04412,11,354.92,354.92
0638T,TC,C,04412,15,353.84,353.84
0638T,TC,C,04412,18,354.02,354.02
0638T,TC,C,04412,20,324.32,324.32
0638T,TC,C,04412,28,351.36,351.36
0638T,TC,C,04412,31,377.00,377.00
0638T,TC,C,04412,99,338.20,338.20
0638T,TC,C,05102,00,325.92,325.92
0638T,TC,C,05202,00,322.04,322.04
0638T,TC,C,05302,01,339.30,339.30
0638T,TC,C,05302,02,334.66,334.66
0638T,TC,C,05302,99,307.24,307.24
0638T,TC,C,05402,00,328.76,328.76
0638T,TC,C,06102,12,328.24,328.24
0638T,TC,C,06102,15,366.26,366.26
0638T,TC,C,06102,16,358.60,358.60
0638T,TC,C,06102,99,325.60,325.60
0638T,TC,C,06202,00,366.48,366.48
0638T,TC,C,06302,00,341.20,341.20
0638T,TC,C,07102,13,306.02,306.02
0638T,TC,C,07202,01,335.43,335.43
0638T,TC,C,07202,99,315.43,315.43
0638T,TC,C,07302,00,306.81,306.81
0638T,TC,C,08102,00,330.22,330.22
0638T,TC,C,08202,01,344.15,344.15
0638T,TC,C,08202,99,325.45,325.45
0638T,TC,C,09102,03,361.29,361.29
0638T,TC,C,09102,04,371.50,371.50
0638T,TC,C,09102,99,340.89,340.89
0638T,TC,C,09202,20,360.30,360.30
0638T,TC,C,09202,50,360.30,360.30
0638T,TC,C,10112,00,311.74,311.74
0638T,TC,C,10212,01,362.15,362.15
0638T,TC,C,10212,99,318.00,318.00
0638T,TC,C,10312,35,323.83,323.83
0638T,TC,C,11202,01,329.28,329.28
0638T,TC,C,11302,00,350.24,350.24
0638T,TC,C,11402,16,309.89,309.89
0638T,TC,C,11502,00,332.41,332.41
0638T,TC,C,12102,01,352.08,352.08
0638T,TC,C,12202,01,419.80,419.80
